index,x,y,time,density,First_Day,Last_Day,Burn_Date,FireMask,ET_500m_mean,Fpar_500m_mean,u10_mean,v10_mean,t2m_mean,tp_mean,LST_Day_1km_mean,LST_Night_1km_mean,_1_km_16_days_EVI_mean,month,trimester,FireMask_pred,FireMask_proba
23366,5.02131622499217,43.73726009747723,2018-04-01,15.907603,78.75000000000148,133.75000000000142,0.0,0.0,11.69,0.4853964656591415,0.9119278028315778,-1.58928648836029,280.46444721194376,0.0006686923416996,286.1948977775809,279.2043650895424,0.3027374809607863,4,2,1,0.7951560756245605
23367,6.0716990430373095,43.99490116605434,2018-03-02,2.4946632,42.12903225806445,111.61290322580652,0.0,0.0,8.870001,0.2964843604713678,-0.8961747714796481,-0.3169482470681025,272.52117450929296,0.0032307921580453,279.1198224589457,271.67271482118383,0.2026812490075826,3,1,1,0.7208056098850377
23368,5.645600352698244,44.2029958752897,2018-05-28,2.4759665,140.32258064516122,200.3467741935488,0.0,0.0,669.0602,0.616738262027502,-0.3305778605480675,-0.4244464398661377,284.15743226619,0.0033857507404904,293.60073967719904,283.0501098383455,0.5252525039017201,5,2,0,0.02989538248540753
23369,6.101426858642361,44.084084612869496,2018-03-15,6.208761,57.70967741935484,120.1451612903224,0.0,0.0,8.92,0.287679685652256,-0.6345373518289839,-0.213642824444366,275.9173996925892,0.0031640214570525,287.2047198993764,274.4910421364306,0.1895374995656311,3,1,0,0.45320630381039134
23370,6.279793752272667,44.43090912826176,2018-08-03,8.424094,193.17741935483875,268.6774193548387,0.0,0.0,20.71,0.6541269302368165,-0.6542390482295131,-0.4025904875460032,289.40188532398736,0.0002977339150748,304.1853674561509,289.9166671563609,0.4594131166115403,8,3,0,0.09422765296799057
23371,4.991588409387119,44.63900383749712,2018-11-05,10.256108,289.93333333333334,307.70000000000186,0.0,0.0,334.05,0.5949999876320362,-0.675062004233675,-0.871779699265384,281.039805736977,0.0056586547984258,283.25674661671974,280.65504284528527,0.4113937327638268,11,4,0,0.10101548356213745
23372,5.705055983908346,44.2228144190264,2018-12-05,10.8313465,332.60483870967795,24.516129032258064,0.0,0.0,987.08026,0.4583886500447988,0.1767179805436255,-1.3249075891481294,275.4566280431161,0.0020166641635699,278.76484997082264,273.61506461443054,0.2375156129710376,12,4,0,0.01739592390303746
23373,6.636527539533281,44.2624515064998,2018-01-05,3.3877783,29.201612903221367,37.47580645161492,0.0,0.0,3276.5,0.0244531244970858,1.0537934994078295,-1.108709474321315,268.9218450912501,0.0026180377144603,270.424723706562,265.4146982615437,0.0369124982971698,1,1,0,0.0692804890829233
23374,6.368977199087821,44.906554177942574,2018-10-02,0.8010859,258.18548387096587,292.4596774193617,0.0,0.0,3276.5,0.1739609332755208,-0.1266024399585543,-0.5864316874334622,278.0123820558266,0.0004725345832835,284.9938968380447,271.9034745205338,-0.0344806265784427,10,4,0,0.061551189570907876
23375,4.872677146966915,44.43090912826176,2018-07-20,14.620749,180.4193548387095,253.32258064516108,0.0,0.0,17.650002,0.5534198984503746,-0.208082905550991,-2.0623811787466524,295.7151195954704,8.881002371686158e-05,304.95142055840904,294.2711743098042,0.4428256202489137,7,3,0,0.3018571165629281
